,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
102,37.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,2.688884917646078,U104,20180412
103,37.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,3.099481101571155,U104,20180412
104,38.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.45762420726843,U104,20180412
105,38.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.019437469145637,U104,20180412
106,38.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,2.7752843871660544,U104,20180412
107,38.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,3.2444573915228467,U104,20180412
108,38.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.6609791822393898,U104,20180412
109,38.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.1350717206844685,U104,20180412
110,38.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,2.8165775463803904,U104,20180412
111,38.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,3.2603601325086617,U104,20180412
112,39.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.504559692012346,U104,20180412
113,39.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.0955713297879126,U104,20180412
114,39.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,2.8994140181228447,U104,20180412
115,39.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,3.403933666355831,U104,20180412
116,39.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.7173489700157614,U104,20180412
117,39.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.2175286654643824,U104,20180412
118,39.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,2.9435175558708564,U104,20180412
119,39.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,3.421040164526442,U104,20180412
120,40.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.550767754362492,U104,20180412
121,40.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.1707816907444624,U104,20180412
122,40.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,3.0227697343107014,U104,20180412
123,40.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,3.563457345331031,U104,20180412
124,40.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.7728864928337456,U104,20180412
125,40.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.2990374719240365,U104,20180412
126,40.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,3.0697202864471755,U104,20180412
127,40.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,3.581840706815805,U104,20180412
128,41.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.5963635439064385,U104,20180412
129,41.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.2451435883191637,U104,20180412
130,41.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,3.145383941455461,U104,20180412
131,41.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,3.722870630298296,U104,20180412
132,41.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.8276890013223095,U104,20180412
133,41.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.3796705641351497,U104,20180412
134,41.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,3.1952106604261195,U104,20180412
135,41.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,3.7425735310631234,U104,20180412
136,42.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.6412473077860752,U104,20180412
137,42.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.3185364328753857,U104,20180412
138,42.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,3.2670114969660426,U104,20180412
139,42.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,3.8814175616041644,U104,20180412
140,42.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.8816522323916358,U104,20180412
141,42.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.459297715983418,U104,20180412
142,42.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,3.3197133059915167,U104,20180412
143,42.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,3.9024237277311435,U104,20180412
144,43.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.6854735514154475,U104,20180412
145,43.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.390996607521917,U104,20180412
146,43.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,3.3875561128748237,U104,20180412
147,43.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,4.038776212517072,U104,20180412
148,43.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.9348298519120133,U104,20180412
149,43.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.537943877170793,U104,20180412
150,43.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,3.4431154678467166,U104,20180412
151,43.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,4.061060192926958,U104,20180412
152,44.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.7290899767839685,U104,20180412
153,44.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.4625582531996444,U104,20180412
154,44.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,3.506990530148179,U104,20180412
155,44.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,4.194942425877497,U104,20180412
156,44.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.987269750433428,U104,20180412
157,44.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.615638948523123,U104,20180412
158,44.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,3.5653912075223966,U104,20180412
159,44.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,4.2184989625307905,U104,20180412
160,45.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.7721364818641183,U104,20180412
161,45.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.533242679096655,U104,20180412
162,45.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,3.6252927343319836,U104,20180412
163,45.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,4.350004206193282,U104,20180412
164,45.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.039011716696856,U104,20180412
165,45.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.6924003792667466,U104,20180412
166,45.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,3.68652648542676,U104,20180412
167,45.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,4.374851137220463,U104,20180412
168,46.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.8146359033321482,U104,20180412
169,46.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.6030473537364975,U104,20180412
170,46.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,3.742344048242829,U104,20180412
171,46.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,4.50365892316682,U104,20180412
172,46.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.0900753652373605,U104,20180412
173,46.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.7682171495977057,U104,20180412
174,46.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,3.8063932724682785,U104,20180412
175,46.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,4.529801426087789,U104,20180412
176,47.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.8566002380181692,U104,20180412
177,47.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.671934143348901,U104,20180412
178,47.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,3.857899484220915,U104,20180412
179,47.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,4.655282600821013,U104,20180412
180,47.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.1404620832824977,U104,20180412
181,47.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.8430321272394705,U104,20180412
182,47.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,3.924722458660109,U104,20180412
183,47.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,4.682692868831997,U104,20180412
184,48.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.8980418273714372,U104,20180412
185,48.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.7398779466194187,U104,20180412
186,48.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,3.971784487559589,U104,20180412
187,48.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,4.804532041546664,U104,20180412
188,48.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.1901769149724073,U104,20180412
189,48.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.9168062593556736,U104,20180412
190,48.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,4.041325392128614,U104,20180412
