kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,h,comment
61,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.08,0.903,Inherent filtration measured in lab 106 - 2018-03-28
61,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,6.09,0.944,Inherent filtration measured in lab 106 - 2018-03-28
61,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,6.69,0.963,Inherent filtration measured in lab 106 - 2018-03-28
62,4.1,0,0,770,AXIOM-Artis,Single Plane,8,2.89,0.769,Inherent filtration measured in lab 106 - 2018-03-28
62,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,3.91,0.836,Inherent filtration measured in lab 106 - 2018-03-28
62,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,4.63,0.876,Inherent filtration measured in lab 106 - 2018-03-28
62,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.17,0.902,Inherent filtration measured in lab 106 - 2018-03-28
62,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,6.2,0.943,Inherent filtration measured in lab 106 - 2018-03-28
62,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,6.81,0.962,Inherent filtration measured in lab 106 - 2018-03-28
63,4.1,0,0,770,AXIOM-Artis,Single Plane,8,2.93,0.766,Inherent filtration measured in lab 106 - 2018-03-28
63,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,3.98,0.834,Inherent filtration measured in lab 106 - 2018-03-28
63,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,4.71,0.874,Inherent filtration measured in lab 106 - 2018-03-28
63,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.26,0.9,Inherent filtration measured in lab 106 - 2018-03-28
63,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,6.31,0.942,Inherent filtration measured in lab 106 - 2018-03-28
63,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,6.94,0.961,Inherent filtration measured in lab 106 - 2018-03-28
64,4.1,0,0,770,AXIOM-Artis,Single Plane,8,2.98,0.764,Inherent filtration measured in lab 106 - 2018-03-28
64,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.04,0.831,Inherent filtration measured in lab 106 - 2018-03-28
64,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,4.79,0.872,Inherent filtration measured in lab 106 - 2018-03-28
64,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.34,0.899,Inherent filtration measured in lab 106 - 2018-03-28
64,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,6.42,0.941,Inherent filtration measured in lab 106 - 2018-03-28
64,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,7.06,0.961,Inherent filtration measured in lab 106 - 2018-03-28
65,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.02,0.761,Inherent filtration measured in lab 106 - 2018-03-28
65,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.1,0.829,Inherent filtration measured in lab 106 - 2018-03-28
65,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,4.86,0.87,Inherent filtration measured in lab 106 - 2018-03-28
65,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.43,0.897,Inherent filtration measured in lab 106 - 2018-03-28
65,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,6.53,0.94,Inherent filtration measured in lab 106 - 2018-03-28
65,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,7.18,0.96,Inherent filtration measured in lab 106 - 2018-03-28
66,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.07,0.759,Inherent filtration measured in lab 106 - 2018-03-28
66,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.17,0.827,Inherent filtration measured in lab 106 - 2018-03-28
66,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,4.94,0.869,Inherent filtration measured in lab 106 - 2018-03-28
66,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.51,0.896,Inherent filtration measured in lab 106 - 2018-03-28
66,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,6.63,0.939,Inherent filtration measured in lab 106 - 2018-03-28
66,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,7.3,0.959,Inherent filtration measured in lab 106 - 2018-03-28
67,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.11,0.757,Inherent filtration measured in lab 106 - 2018-03-28
67,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.23,0.826,Inherent filtration measured in lab 106 - 2018-03-28
67,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.01,0.867,Inherent filtration measured in lab 106 - 2018-03-28
67,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.6,0.894,Inherent filtration measured in lab 106 - 2018-03-28
67,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,6.74,0.938,Inherent filtration measured in lab 106 - 2018-03-28
67,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,7.41,0.959,Inherent filtration measured in lab 106 - 2018-03-28
68,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.15,0.754,Inherent filtration measured in lab 106 - 2018-03-28
68,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.29,0.824,Inherent filtration measured in lab 106 - 2018-03-28
68,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.09,0.866,Inherent filtration measured in lab 106 - 2018-03-28
68,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.68,0.893,Inherent filtration measured in lab 106 - 2018-03-28
68,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,6.84,0.938,Inherent filtration measured in lab 106 - 2018-03-28
68,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,7.52,0.958,Inherent filtration measured in lab 106 - 2018-03-28
69,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.2,0.752,Inherent filtration measured in lab 106 - 2018-03-28
69,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.35,0.822,Inherent filtration measured in lab 106 - 2018-03-28
69,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.16,0.864,Inherent filtration measured in lab 106 - 2018-03-28
69,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.76,0.892,Inherent filtration measured in lab 106 - 2018-03-28
69,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,6.94,0.937,Inherent filtration measured in lab 106 - 2018-03-28
69,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,7.63,0.958,Inherent filtration measured in lab 106 - 2018-03-28
70,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.24,0.75,Inherent filtration measured in lab 106 - 2018-03-28
70,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.41,0.82,Inherent filtration measured in lab 106 - 2018-03-28
