,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
144,43.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.8164413894844436,U601,20180418
145,43.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,2.4669758398358765,U601,20180418
146,43.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,3.4158148382719378,U601,20180418
147,43.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,4.050027753717518,U601,20180418
148,43.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.042730300945154,U601,20180418
149,43.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,2.6044720217607287,U601,20180418
150,43.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,3.4695118189196164,U601,20180418
151,43.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,4.071880294078341,U601,20180418
152,44.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.8646048323745155,U601,20180418
153,44.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,2.541677378559547,U601,20180418
154,44.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,3.536689641840621,U601,20180418
155,44.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,4.206835730461113,U601,20180418
156,44.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.099204197382032,U601,20180418
157,44.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,2.6850267821705476,U601,20180418
158,44.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,3.5931507754809413,U601,20180418
159,44.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,4.2299390647846415,U601,20180418
160,45.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.9121298937073528,U601,20180418
161,45.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,2.61547180700808,U601,20180418
162,45.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,3.6564278228178964,U601,20180418
163,45.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,4.362548041746395,U601,20180418
164,45.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.1549282456945043,U601,20180418
165,45.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,2.7646241451438027,U601,20180418
166,45.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,3.7156460020858026,U601,20180418
167,45.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,4.386920848175547,U601,20180418
168,46.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.9590381598238686,U601,20180418
169,46.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,2.6883524760260666,U601,20180418
170,46.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,3.774906027979423,U601,20180418
171,46.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,4.516855735971335,U601,20180418
172,46.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.209919443880805,U601,20180418
173,46.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,2.843248645849025,U601,20180418
174,46.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,3.836864779597472,U601,20180418
175,46.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,4.542503634806346,U601,20180418
176,47.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,2.005336943770942,U601,20180418
177,47.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,2.7602719086535976,U601,20180418
178,47.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,3.8918672575620143,U601,20180418
179,47.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,4.669118468744996,U601,20180418
180,47.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.2641723796147692,U601,20180418
181,47.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,2.9208332092514757,U601,20180418
182,47.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,3.956525647630153,U601,20180418
183,47.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,4.6960137207761745,U601,20180418
184,48.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,2.0510353568982573,U601,20180418
185,48.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,2.831198155160516,U601,20180418
186,48.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,4.007129992849255,U601,20180418
187,48.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,4.818988868206883,U601,20180418
188,48.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.3176871436059963,U601,20180418
189,48.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,2.9973314928654573,U601,20180418
190,48.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,4.074433068964402,U601,20180418
191,48.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,4.8470956568755454,U601,20180418
192,49.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,2.0961449079162553,U601,20180418
193,49.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,2.9011183267461704,U601,20180418
194,49.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,4.120639452963799,U601,20180418
195,49.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,4.966468996703447,U601,20180418
196,49.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.3704705182113472,U601,20180418
197,49.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,3.0727248440801467,U601,20180418
198,49.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,4.190534442558913,U601,20180418
199,49.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,4.9957632268032715,U601,20180418
200,50.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,2.140690949808273,U601,20180418
201,50.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,2.9700389378313217,U601,20180418
202,50.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,4.232352745949911,U601,20180418
203,50.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,5.111641656662299,U601,20180418
204,50.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.4225467782921757,U601,20180418
205,50.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,3.14701415828095,U601,20180418
206,50.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,4.304791513416944,U601,20180418
207,50.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,5.142116886423178,U601,20180418
208,51.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,2.1848556066420493,U601,20180418
209,51.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,3.0381670493980777,U601,20180418
210,51.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,4.342582564396694,U601,20180418
211,51.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,5.254906159024042,U601,20180418
212,51.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.474101140890968,U601,20180418
213,51.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,3.2204174183546677,U601,20180418
