kVp_kV,HVL_mmAl,UdivRho,FieldSize_cm
130,8.46,1.046,20
130,8.72,1.047,20
130,9.18,1.05,20
130,9.3,1.05,20
130,10.79,1.058,20
130,11.62,1.062,20
130,11.66,1.063,20
140,5.11,1.036,20
140,5.62,1.037,20
140,6.34,1.04,20
140,6.92,1.042,20
140,7.67,1.044,20
140,8.07,1.046,20
140,8.89,1.049,20
140,9.14,1.05,20
140,9.59,1.052,20
140,9.71,1.053,20
140,11.2,1.061,20
140,12.04,1.065,20
140,12.09,1.066,20
150,5.52,1.038,20
150,6.04,1.04,20
150,6.75,1.042,20
150,7.34,1.044,20
150,8.09,1.047,20
150,8.48,1.048,20
150,9.29,1.052,20
150,9.54,1.053,20
150,9.98,1.055,20
150,10.1,1.056,20
150,11.58,1.063,20
150,12.44,1.068,20
150,12.48,1.068,20
50,1.78,1.016,25
50,1.99,1.016,25
50,2.3,1.015,25
50,2.57,1.015,25
50,2.89,1.015,25
50,3.09,1.015,25
50,3.49,1.015,25
50,3.62,1.016,25
50,3.85,1.016,25
50,3.91,1.016,25
50,4.7,1.017,25
50,5.13,1.019,25
50,5.15,1.019,25
60,2.11,1.017,25
60,2.37,1.017,25
60,2.76,1.017,25
60,3.09,1.017,25
60,3.51,1.017,25
60,3.76,1.018,25
60,4.28,1.019,25
60,4.45,1.019,25
60,4.76,1.02,25
60,4.84,1.02,25
60,5.9,1.023,25
60,6.49,1.025,25
60,6.51,1.025,25
70,2.43,1.018,25
70,2.73,1.019,25
70,3.18,1.019,25
70,3.57,1.02,25
70,4.08,1.021,25
70,4.36,1.021,25
70,4.99,1.023,25
70,5.2,1.023,25
70,5.56,1.025,25
70,5.66,1.025,25
70,6.94,1.03,25
70,7.65,1.033,25
70,7.68,1.033,25
80,2.77,1.02,25
80,3.12,1.021,25
80,3.63,1.022,25
80,4.08,1.023,25
80,4.66,1.024,25
80,4.99,1.025,25
80,5.71,1.027,25
80,5.94,1.028,25
80,6.36,1.03,25
80,6.47,1.03,25
80,7.88,1.036,25
80,8.66,1.04,25
80,8.69,1.04,25
