kvp_kV,inherent_filtration_mmAl,added_filtration_mmCu,hvl_mmAl,h,field_side_length_cm,backscatter,mu_en_quotient
50,4.1,0.1,3.09,0.87,10,1.331,1.015
50,3.1,0.2,3.49,0.89,10,1.354,1.016
50,4.1,0.2,3.62,0.90,10,1.361,1.016
50,2.5,0.3,3.85,0.91,10,1.373,1.016
50,3.1,0.3,3.91,0.92,10,1.376,1.016
50,3.1,0.6,4.70,0.96,10,1.411,1.018
50,2.5,0.9,5.13,0.97,10,1.427,1.019
50,3.1,0.9,5.15,0.97,10,1.428,1.019
60,2.5,0,2.11,0.72,10,1.270,1.017
60,3.1,0,2.37,0.74,10,1.289,1.017
60,4.1,0,2.76,0.77,10,1.313,1.017
60,5.1,0,3.09,0.80,10,1.332,1.017
60,3.1,0.1,3.51,0.82,10,1.355,1.018
60,4.1,0.1,3.76,0.84,10,1.367,1.018
60,3.1,0.2,4.28,0.87,10,1.390,1.019
60,4.1,0.2,4.45,0.88,10,1.397,1.020
60,2.5,0.3,4.76,0.89,10,1.409,1.020
60,3.1,0.3,4.84,0.90,10,1.412,1.021
60,3.1,0.6,5.90,0.94,10,1.445,1.024
60,2.5,0.9,6.49,0.96,10,1.459,1.026
60,3.1,0.9,6.51,0.96,10,1.460,1.026
70,2.5,0,2.43,0.69,10,1.293,1.019
70,3.1,0,2.73,0.72,10,1.312,1.019
70,4.1,0,3.18,0.75,10,1.336,1.019
70,5.1,0,3.57,0.77,10,1.355,1.020
70,3.1,0.1,4.08,0.80,10,1.377,1.021
70,4.1,0.1,4.36,0.82,10,1.388,1.022
70,3.1,0.2,4.99,0.85,10,1.410,1.023
70,4.1,0.2,5.20,0.86,10,1.416,1.024
70,2.5,0.3,5.56,0.88,10,1.427,1.025
70,3.1,0.3,5.66,0.88,10,1.430,1.026
70,3.1,0.6,6.94,0.93,10,1.457,1.031
70,2.5,0.9,7.65,0.95,10,1.467,1.034
70,3.1,0.9,7.68,0.96,10,1.467,1.034
80,2.5,0,2.77,0.67,10,1.312,1.021
80,3.1,0,3.12,0.69,10,1.330,1.021
80,4.1,0,3.63,0.73,10,1.353,1.022
80,5.1,0,4.08,0.75,10,1.371,1.023
80,3.1,0.1,4.66,0.78,10,1.392,1.025
80,4.1,0.1,4.99,0.80,10,1.402,1.026
80,3.1,0.2,5.71,0.84,10,1.421,1.028
80,4.1,0.2,5.94,0.85,10,1.427,1.029
80,2.5,0.3,6.36,0.87,10,1.436,1.031
80,3.1,0.3,6.47,0.87,10,1.438,1.031
80,3.1,0.6,7.88,0.93,10,1.458,1.038
80,2.5,0.9,8.66,0.95,10,1.463,1.042
80,3.1,0.9,8.69,0.95,10,1.463,1.042
90,2.5,0,3.14,0.65,10,1.327,1.023
90,3.1,0,3.53,0.68,10,1.344,1.024
90,4.1,0,4.10,0.71,10,1.366,1.026
90,5.1,0,4.59,0.74,10,1.382,1.027
90,3.1,0.1,5.24,0.78,10,1.401,1.029
90,4.1,0.1,5.60,0.80,10,1.410,1.030
90,3.1,0.2,6.38,0.83,10,1.426,1.033
90,4.1,0.2,6.62,0.85,10,1.431,1.034
90,2.5,0.3,7.07,0.87,10,1.438,1.036
90,3.1,0.3,7.18,0.87,10,1.439,1.037
90,3.1,0.6,8.66,0.93,10,1.453,1.043
90,2.5,0.9,9.45,0.95,10,1.454,1.048
90,3.1,0.9,9.48,0.95,10,1.454,1.048
100,2.5,0,3.52,0.64,10,1.339,1.026
100,3.1,0,3.95,0.67,10,1.355,1.027
100,4.1,0,4.57,0.70,10,1.375,1.029
100,5.1,0,5.09,0.74,10,1.389,1.031
100,3.1,0.1,5.79,0.77,10,1.406,1.033
100,4.1,0.1,6.17,0.79,10,1.413,1.034
100,3.1,0.2,6.97,0.83,10,1.427,1.038
100,4.1,0.2,7.23,0.85,10,1.430,1.039
100,2.5,0.3,7.69,0.87,10,1.436,1.041
100,3.1,0.3,7.81,0.87,10,1.437,1.041
100,3.1,0.6,9.30,0.93,10,1.444,1.049
100,2.5,0.9,10.10,0.95,10,1.442,1.053
100,3.1,0.9,10.14,0.95,10,1.442,1.053
110,2.5,0,3.91,0.63,10,1.348,1.029
110,3.1,0,4.37,0.66,10,1.362,1.030
110,4.1,0,5.02,0.70,10,1.380,1.032
110,5.1,0,5.57,0.73,10,1.393,1.034
110,3.1,0.1,6.30,0.77,10,1.407,1.037
110,4.1,0.1,6.69,0.79,10,1.414,1.038
110,3.1,0.2,7.51,0.83,10,1.425,1.041
110,4.1,0.2,7.77,0.85,10,1.427,1.043
110,2.5,0.3,8.23,0.87,10,1.431,1.045
110,3.1,0.3,8.35,0.87,10,1.432,1.045
110,3.1,0.6,9.85,0.93,10,1.435,1.053
110,2.5,0.9,10.67,0.95,10,1.430,1.058
110,3.1,0.9,10.70,0.95,10,1.429,1.058
120,2.5,0,4.31,0.63,10,1.354,1.032
120,3.1,0,4.79,3.29,10,1.367,1.033
120,4.1,0,5.47,0.70,10,1.384,1.035
120,5.1,0,6.04,0.74,10,1.395,1.037
120,3.1,0.1,6.78,4.47,10,1.407,1.040
120,4.1,0.1,7.18,0.80,10,1.412,1.041
120,3.1,0.2,8.01,5.18,10,1.421,1.045
120,4.1,0.2,8.27,0.85,10,1.423,1.046
120,2.5,0.3,8.73,0.87,10,1.425,1.048
120,3.1,0.3,8.85,5.68,10,1.426,1.049
120,3.1,0.6,10.34,6.60,10,1.424,1.057
120,2.5,0.9,11.17,0.95,10,1.417,1.062
120,3.1,0.9,11.21,7.16,10,1.417,1.062
130,2.5,0,4.71,0.63,10,1.359,1.034
130,3.1,0,5.21,3.56,10,1.371,1.036
130,4.1,0,5.91,0.71,10,1.385,1.038
130,5.1,0,6.49,0.74,10,1.395,1.040
130,3.1,0.1,7.24,4.76,10,1.405,1.043
130,4.1,0.1,7.63,0.80,10,1.409,1.045
130,3.1,0.2,8.46,5.49,10,1.416,1.048
130,4.1,0.2,8.72,0.85,10,1.417,1.049
130,2.5,0.3,9.18,0.87,10,1.419,1.051
130,3.1,0.3,9.30,5.99,10,1.419,1.052
130,3.1,0.6,10.79,6.93,10,1.414,1.060
130,2.5,0.9,11.62,0.94,10,1.405,1.065
130,3.1,0.9,11.66,7.52,10,1.405,1.065
140,2.5,0,5.11,0.64,10,1.362,1.037
140,3.1,0,5.62,3.83,10,1.372,1.038
140,4.1,0,6.34,0.71,10,1.385,1.041
140,5.1,0,6.92,0.74,10,1.393,1.043
140,3.1,0.1,7.67,5.05,10,1.402,1.046
140,4.1,0.1,8.07,0.80,10,1.405,1.048
140,3.1,0.2,8.89,5.78,10,1.410,1.051
140,4.1,0.2,9.14,0.85,10,1.411,1.052
140,2.5,0.3,9.59,0.87,10,1.411,1.054
