kvp_kv,filtration_inherent_mmal,filtration_added_mmcu,filtration_added_mmal,anode_angle_deg,hvl_mmal
25,2.7000000000000006,0.1,0,11,0.9579143886617822
25,2.7000000000000006,0.4,0,11,1.1797640822346331
25,2.7000000000000006,0.9,0,11,1.283988053316626
25,2.7000000000000006,0.0,1,11,0.8323475703914571
25,2.7000000000000006,0.1,1,11,0.9986069960263583
25,2.7000000000000006,0.4,1,11,1.1908729889528722
25,2.7000000000000006,0.9,1,11,1.2871267343338866
25,2.8000000000000007,0.0,0,11,0.754715062862366
25,2.8000000000000007,0.1,0,11,0.9623691229035166
25,2.8000000000000007,0.4,0,11,1.1809247201622524
25,2.8000000000000007,0.9,0,11,1.2843113285411507
25,2.8000000000000007,0.0,1,11,0.8397258293626901
25,2.8000000000000007,0.1,1,11,1.002253984636119
25,2.8000000000000007,0.4,1,11,1.1919259564998521
25,2.8000000000000007,0.9,1,11,1.2874293900859288
25,2.900000000000001,0.0,0,11,0.7645120453733583
25,2.900000000000001,0.1,0,11,0.9667302968030431
25,2.900000000000001,0.4,0,11,1.1820738641184894
25,2.900000000000001,0.9,0,11,1.2846324708710595
25,2.900000000000001,0.0,1,11,0.8468980406893496
25,2.900000000000001,0.1,1,11,1.005833570828693
25,2.900000000000001,0.4,1,11,1.1929689855780825
25,2.900000000000001,0.9,1,11,1.287730067800214
25,3.000000000000001,0.0,0,11,0.7739767079315253
25,3.000000000000001,0.1,0,11,0.971001127920556
25,3.000000000000001,0.4,0,11,1.183211684908504
25,3.000000000000001,0.9,0,11,1.2849514964929891
25,3.000000000000001,0.0,1,11,0.853873635436576
25,3.000000000000001,0.1,1,11,1.0093477709993173
25,3.000000000000001,0.4,1,11,1.194002214711207
25,3.000000000000001,0.9,1,11,1.2880287821437257
25,3.100000000000001,0.0,0,11,0.7831282088415229
25,3.100000000000001,0.1,0,11,0.9751846766909918
25,3.100000000000001,0.4,0,11,1.18433834969376
25,3.100000000000001,0.9,0,11,1.285268421432059
25,3.100000000000001,0.0,1,11,0.8606614299051356
25,3.100000000000001,0.1,1,11,1.0127985165783606
25,3.100000000000001,0.4,1,11,1.1950257796491435
25,3.100000000000001,0.9,1,11,1.2883255476425217
25,3.200000000000001,0.0,0,11,0.7919840554002012
25,3.200000000000001,0.1,0,11,0.9792838564576001
25,3.200000000000001,0.4,0,11,1.1854540220928547
25,3.200000000000001,0.9,0,11,1.2855832615540963
25,3.200000000000001,0.0,1,11,0.8672696790148375
25,3.200000000000001,0.1,1,11,1.0161876585175853
25,3.200000000000001,0.4,1,11,1.1960398134402355
25,3.200000000000001,0.9,1,11,1.2886203786835666
25,3.300000000000001,0.0,0,11,0.8005602870581867
25,3.300000000000001,0.1,0,11,0.983301442708923
25,3.300000000000001,0.4,0,11,1.1865588622789738
25,3.300000000000001,0.9,0,11,1.2858960325678004
25,3.300000000000001,0.0,1,11,0.8737061236825479
25,3.300000000000001,0.1,1,11,1.0195169868047733
25,3.300000000000001,0.4,1,11,1.1970444465011467
25,3.300000000000001,0.9,1,11,1.2889132895166042
25,3.4000000000000012,0.0,0,11,0.8088716458609372
25,3.4000000000000012,0.1,0,11,0.9872400825892418
25,3.4000000000000012,0.4,0,11,1.1876530270740262
25,3.4000000000000012,0.9,0,11,1.2862067500269343
25,3.4000000000000012,0.0,1,11,0.8799780330575591
25,3.4000000000000012,0.1,1,11,1.0227881741578706
25,3.4000000000000012,0.4,1,11,1.1980398066845097
25,3.4000000000000012,0.9,1,11,1.2892042942559283
25,3.5000000000000013,0.0,0,11,0.8169317403765953
25,3.5000000000000013,0.1,0,11,0.9911023049395397
25,3.5000000000000013,0.4,0,11,1.1887366700396558
25,3.5000000000000013,0.9,0,11,1.2865154293323737
25,3.5000000000000013,0.0,1,11,0.8860922336960807
25,3.5000000000000013,0.1,1,11,1.0260028709032598
25,3.5000000000000013,0.4,1,11,1.1990260193444668
25,3.5000000000000013,0.9,1,11,1.28949340688217
25,3.6000000000000014,0.0,0,11,0.8247531574988769
25,3.6000000000000014,0.1,0,11,0.9948904985371451
25,3.6000000000000014,0.4,0,11,1.1898099415652192
25,3.6000000000000014,0.9,0,11,1.2868220857342392
25,3.6000000000000014,0.0,1,11,0.8920551779875306
25,3.6000000000000014,0.1,1,11,1.0291626498707882
25,3.6000000000000014,0.4,1,11,1.2000032074001787
25,3.6000000000000014,0.9,1,11,1.2897806412440445
25,3.7000000000000015,0.0,0,11,0.8323475703914575
25,3.7000000000000015,0.1,0,11,0.9986069960263589
25,3.7000000000000015,0.4,0,11,1.190872988952872
25,3.7000000000000015,0.9,0,11,1.287126734333886
25,3.7000000000000015,0.0,1,11,0.8978729318125631
25,3.7000000000000015,0.1,1,11,1.0322690162237873
