kvp_kv,filtration_inherent_mmal,filtration_added_mmcu,filtration_added_mmal,anode_angle_deg,hvl_mmal
25,3.4000000000000012,0.0,0,8,0.8136196271466143
25,3.4000000000000012,0.1,0,8,0.9901940503768025
25,3.4000000000000012,0.2,0,8,1.0860682748789263
25,3.4000000000000012,0.3,0,8,1.1468373849634492
25,3.4000000000000012,0.6,0,8,1.2429311480758465
25,3.4000000000000012,0.9,0,8,1.2866540492032883
25,3.5000000000000013,0.0,0,8,0.821588369115261
25,3.5000000000000013,0.1,0,8,0.9940190199493338
25,3.5000000000000013,0.2,0,8,1.0883367868368734
25,3.5000000000000013,0.3,0,8,1.1483459342052114
25,3.5000000000000013,0.6,0,8,1.243545601734078
25,3.5000000000000013,0.9,0,8,1.2869601117485092
25,3.6000000000000014,0.0,0,8,0.8293219189149482
25,3.6000000000000014,0.1,0,8,0.9977709003093048
25,3.6000000000000014,0.2,0,8,1.090573244028239
25,3.6000000000000014,0.3,0,8,1.1498374191984524
25,3.6000000000000014,0.6,0,8,1.2441553451611003
25,3.6000000000000014,0.9,0,8,1.2872641670492444
25,3.7000000000000015,0.0,0,8,0.8368317489050122
25,3.7000000000000015,0.1,0,8,1.0014519445764352
25,3.7000000000000015,0.2,0,8,1.092778367562475
25,3.7000000000000015,0.3,0,8,1.151312138200075
25,3.7000000000000015,0.6,0,8,1.2447604264369654
25,3.7000000000000015,0.9,0,8,1.2875662300951136
25,3.8000000000000016,0.0,0,8,0.8441285237775119
25,3.8000000000000016,0.1,0,8,1.005064321162703
25,3.8000000000000016,0.2,0,8,1.0949528555923649
25,3.8000000000000016,0.3,0,8,1.1527703820374038
25,3.8000000000000016,0.6,0,8,1.2453608929406663
25,3.8000000000000016,0.9,0,8,1.2878663157301904
25,3.9000000000000017,0.0,0,8,0.85122217797311
25,3.9000000000000017,0.1,0,8,1.0086101047717733
25,3.9000000000000017,0.2,0,8,1.0970973842595408
